Hours Studied,Previous Scores,Performance Index
1,69,46
5,65,51
3,46,23
2,78,56
3,70,47
8,44,42
6,74,64
7,89,80
6,86,73
6,91,80
3,53,34
8,75,69
7,66,54
7,63,56
6,79,66
5,68,53
8,92,89
5,84,70
9,61,59
9,47,41
1,54,28
6,88,75
7,44,34
3,91,68
7,43,32
7,50,44
2,57,35
7,81,74
1,88,64
5,69,57
9,54,46
7,45,36
7,94,85
2,92,71
8,55,49
3,86,71
8,79,76
3,48,26
7,82,74
2,98,78
4,73,59
6,66,55
9,52,51
5,75,57
9,66,63
5,48,37
8,44,41
1,90,67
7,61,56
4,70,51
5,42,26
6,69,56
5,60,48
1,74,52
9,45,42
2,67,41
9,71,64
2,81,57
9,76,72
6,64,52
9,71,67
6,74,61
6,61,51
2,63,42
8,78,71
3,93,74
7,69,62
5,89,76
3,71,50
1,70,42
8,62,55
3,79,60
2,72,52
1,64,36
4,75,53
8,63,54
3,70,47
1,97,70
4,78,62
9,85,82
1,52,26
2,49,25
9,62,55
2,57,34
3,71,51
7,72,63
3,75,54
9,67,62
6,55,43
3,55,34
9,57,56
1,47,24
3,81,65
1,55,31
2,94,72
8,95,90
7,50,43
2,45,23
2,40,18
9,51,44
6,96,84
5,77,62
6,67,56
9,84,87
7,97,89
9,56,55
4,40,18
2,71,46
8,47,42
4,93,72
9,79,75
4,95,79
8,82,78
9,85,81
9,63,63
4,49,35
1,86,63
3,78,59
9,78,76
4,49,33
5,75,62
7,64,58
5,99,82
4,89,73
2,98,75
2,96,71
4,49,30
9,58,58
8,85,80
3,84,65
9,54,51
5,55,44
3,41,23
5,68,56
4,43,25
8,92,89
5,89,75
8,68,60
9,70,64
4,56,40
7,49,37
2,66,42
6,92,78
8,80,72
7,54,44
7,99,89
8,83,77
7,70,62
5,60,46
7,99,94
3,98,80
5,97,83
7,80,74
9,85,85
2,84,61
4,99,85
7,65,58
1,77,52
2,90,69
9,75,78
7,91,82
7,56,47
6,90,79
3,42,21
3,53,33
2,88,65
6,52,35
4,80,63
